도서명,저자
팔란티어 1 - 옥스타칼니스의 아이들,김민영
시계관의 살인,"아야츠지 유키토, 김난주"
흑뢰성,요네자와 호노부
벽사아씨전,박에스더
[체험판] 몬테크리스토 백작 1,"오증자, 알렉상드르 뒤마 페르"
데빌맨 1권,나가이 고
1937 상하이 전투,"류보, 한국학술정보 출판번역팀"
필살 청부인 바이안,"사이토 타카오, 기타 쿄우타, 이케나미 쇼타로"
죽음이 두 사람을 갈라놓을 때까지 1권,"DOUBLE S, 타카시게 히로시, 송은미"
문정후 초한지,"문정후, 류기운"
브레이크다운,사이토 타카오
피안도,마츠모토 코지
무한의 주인(신장판),사무라 히로아키
빈란드 사가,유키무라 마코토
사바하,"스튜디오코믹스, 심재연"
제3차 세계 대전,바꿔따라0
바람의 검심(완전판) 1권,"와츠키 노부히로, 오경화"
의룡,"노기자카 타로, 나가이 아키라, 오경희"
신필천하 1권,눈메
간니발 1권,니노미야 마사아키
어둠의 이지스 1권,"후지와라 요시히데, 나나츠키 쿄이치, 이영신"
죽음이 두 사람을 갈라놓을지라도 1화,아마이로 시유
기동경찰 패트레이버 1권,"유키 마사미, 유미선"
반역인가 혁명인가 중국농민반란,런던스토리
대영웅 1권,이원호
쌍망정은 부숴야 한다 1화,후지타 카즈히로
블랙라군(BLACK LAGOON) 1권,"히로에 레이, 박련"
맨발의 겐,"나카자와 케이지, 김송이, 이종욱"
검은사기 1권,"쿠로마루, 나츠하라 타케시, 손정순"
하늘은 붉은 강가 애장판 1권,시노하라 치에
유리가면,미우치 스즈에
메두사,카와구치 카이지
은하영웅전설 1,"다나카 요시키, 김완"
요르문간드 1권,"타카하시 케이타로, 최윤정"
내일의 죠 1권,"치바 테츠야, 타카모리 아사오"
에덴의 왕 1권,"이상철, 나가사키 타카시"
산 1권,"이시즈카 신이치, 설은미"
[체험판] 레이 달리오의 금융 위기 템플릿,"레이 달리오, 송이루, 이종주, 임경은"
총몽 완전판 1권,"기시로 유키토, 주원일"
질풍노도,안철주
[특별 무료공개] 이토 히로부미 안중근을 쏘다,"조능성, 김성민, 이태진"
혈기린외전 1,좌백